reviewId,content,score
3bd90d61-549b-43ac-b167-1da071cb5462,iya bagus pelananya,5
b5b97f55-f81a-4bb0-a5f9-fa29d0f0ef7e,"aplikasi selalu log out sendiri , giliran masuk captcha cuma muter-muter",2
b68fb3b0-fc84-49f7-9093-842972372ea2,"parah,kenapa sihh susah bgt mw login nya.udah tw mw daftarin orangtua kontrol.malah kode captcha nya ga muncul-muncul.gimana sihh",1
7fbea751-a335-472b-ac21-5f5213d05609,"ini kenapa suka keluar sendiri, padahal mau di gunakan penting banget giliran daftar caftha nya gk bisa di tampikan padahal jaringan udah bagus tolong dong di perbaiki lagi🥲🥲",4
2fdcf77d-561e-4280-9a94-4d4f02126445,makin ga jelas pemerintah skrng,1
a76a42ce-22ce-48ad-b19f-84d913408391,lagh parah padahal jaringan baguss,1
7427f26e-5870-4a7b-a1fb-7c60760e543d,"mau ngambil antrian malah coba lagi dan ulangi, masuk ulang malah capcha nya loding Mulu.",1
22866914-4a3f-4c16-a7c8-9431fd9f47b3,"tolong ini gimana nih,udah logout sendri,eh mau masuk lagi susah banget .mana hari ini harus ambil antrean lagii",3
c6492f59-0a48-4f66-af69-b815557893da,"setiap giliran tanggal kontrol selalu keluar sendiri, jadi ribet mau cepet malah banyak kali kendala nya aplikasi ini, tolong lah di benerin lagi",2
1e92a122-eca4-45c4-acca-57ac89d74b2b,sampah,1
8a6d9a10-30ba-4d4c-bef6-8921978a63b6,Sering trouble,1
79ef3485-1543-4889-ab8a-d8002cc0c891,bisa bisanya eror terus,3
